RUN,MODEL,SPLIT_DIR,SEED,LR,RNN_LR,WD,BS,FREEZE
1,cnn_lstm,data/splits,7766,1.83e-04,2.40e-06,4.41e-06,128,true
2,cnn_lstm,data/splits_20s,9056,9.73e-04,3.33e-06,1.49e-04,192,false
3,cnn_lstm,data/splits,42045,1.01e-04,3.82e-06,1.77e-04,32,false
4,cnn_only,data/splits_20s,45345,2.69e-04,n/a,7.81e-06,256,false
5,cnn_only,data/splits,23590,2.90e-04,n/a,9.59e-04,128,false
6,cnn_only,data/splits,2805,1.06e-04,n/a,4.77e-06,256,false
7,cnn_lstm_ln,data/splits_20s,36376,2.78e-04,1.30e-05,2.04e-06,128,false
8,cnn_lstm_ln,data/splits_20s,59140,1.04e-04,8.94e-05,1.18e-05,32,false
