RUN,MODEL,SPLIT_DIR,SEED,LR,RNN_LR,WD,BS,FREEZE
1,cnn_lstm,data/splits_20s,34577,3.08e-04,6.55e-06,1.26e-05,64,false
2,cnn_lstm,data/splits,37250,6.66e-05,1.67e-06,1.42e-06,128,false
3,cnn_lstm,data/splits,44120,1.14e-05,4.16e-05,9.67e-04,128,false
4,cnn_lstm_ln,data/splits_20s,80117,8.77e-05,1.56e-06,6.62e-04,128,false
5,cnn_lstm_ln,data/splits_10s,91296,3.54e-04,3.50e-06,1.30e-04,32,false
6,cnn_lstm_ln,data/splits_10s,54933,8.84e-05,2.65e-05,1.41e-06,192,true
7,cnn_lstm_seq16,data/splits,18697,4.48e-04,1.82e-06,4.12e-05,192,false
8,cnn_lstm_seq16,data/splits_20s,81622,7.07e-04,6.03e-06,9.96e-06,256,true
9,cnn_lstm_seq16,data/splits,45349,2.73e-04,3.55e-06,1.37e-05,64,true
10,cnn_bilstm_seq24,data/splits_20s,24482,3.62e-04,1.83e-05,6.01e-04,128,false
11,cnn_bilstm_seq24,data/splits,52360,7.36e-04,8.48e-06,3.04e-06,128,false
