RUN,MODEL,SPLIT_DIR,SEED,LR,RNN_LR,WD,BS,FREEZE
1,cnn_lstm,data/splits_20s,86504,4.68e-05,3.68e-06,7.43e-06,32,false
2,cnn_lstm,data/splits,77717,6.08e-04,1.22e-05,2.24e-05,192,false
3,cnn_lstm,data/splits_10s,98198,2.18e-05,1.41e-06,1.14e-04,128,false
4,cnn_lstm_ln,data/splits_20s,30601,6.00e-04,2.77e-05,4.99e-05,32,true
5,cnn_lstm_ln,data/splits,27120,6.38e-05,3.15e-05,2.92e-06,64,false
6,cnn_lstm_ln,data/splits_20s,22188,2.10e-05,1.94e-06,1.89e-04,256,true
7,cnn_lstm_seq16,data/splits_20s,85800,2.98e-04,3.22e-06,1.17e-04,32,false
8,cnn_lstm_seq16,data/splits_20s,44416,5.69e-05,1.40e-06,3.10e-06,256,false
9,cnn_lstm_seq16,data/splits_20s,44544,8.94e-04,1.01e-06,8.33e-06,32,true
10,cnn_bilstm_seq24,data/splits_10s,47335,1.36e-05,8.01e-06,2.42e-04,256,false
11,cnn_bilstm_seq24,data/splits_20s,62016,2.28e-04,3.32e-05,8.92e-05,128,false
12,cnn_bilstm_seq24,data/splits_10s,88516,1.16e-04,2.75e-05,5.32e-04,192,false
