RUN,MODEL,SPLIT_DIR,SEED,LR,RNN_LR,WD,BS,FREEZE
1,cnn_lstm,data/splits_20s,17032,5.06e-04,5.03e-05,1.10e-05,192,false
2,cnn_lstm,data/splits_20s,25590,8.97e-05,6.01e-06,1.27e-05,32,false
3,cnn_lstm,data/splits_10s,43392,3.50e-04,8.56e-06,4.02e-04,128,false
4,cnn_only,data/splits_20s,81656,1.47e-04,8.59e-05,3.26e-06,128,false
5,cnn_only,data/splits,55940,2.75e-05,1.58e-05,2.88e-05,64,false
6,cnn_only,data/splits_20s,13302,5.31e-05,2.78e-05,1.03e-06,256,true
7,cnn_lstm_ln,data/splits_20s,42380,2.06e-05,3.53e-05,8.97e-06,32,false
8,cnn_lstm_ln,data/splits,39150,5.44e-05,1.26e-05,1.17e-05,128,false
9,cnn_lstm_ln,data/splits,63820,5.53e-04,4.21e-06,2.92e-04,192,false
10,cnn_lstm_seq16,data/splits,18635,5.86e-05,2.87e-06,3.63e-04,256,true
11,cnn_lstm_seq16,data/splits_10s,18552,2.86e-04,8.21e-06,6.23e-05,192,true
12,cnn_lstm_seq16,data/splits_10s,4938,3.82e-04,4.55e-05,9.99e-05,32,false
13,cnn_bilstm_seq24,data/splits,56070,3.37e-04,2.31e-05,2.68e-04,256,false
14,cnn_bilstm_seq24,data/splits_20s,71500,1.45e-04,1.83e-05,1.09e-04,256,false
15,cnn_bilstm_seq24,data/splits_20s,44820,4.20e-04,2.26e-05,1.38e-04,256,false
16,cnn_lstm_meanpool,data/splits_10s,39425,4.51e-05,3.35e-06,4.58e-04,64,false
17,cnn_lstm_meanpool,data/splits_10s,27968,1.51e-05,9.73e-06,9.91e-04,64,false
18,cnn_lstm_meanpool,data/splits_20s,78135,5.27e-05,2.67e-06,4.19e-04,32,false
19,bilstm,data/splits,78680,3.54e-05,2.75e-05,8.23e-04,64,false
20,bilstm,data/splits_20s,18208,6.01e-04,4.36e-05,8.79e-05,128,false
