RUN,MODEL,SPLIT_DIR,SEED,LR,RNN_LR,WD,BS,FREEZE
1,cnn_only,data/splits_10s,51910,7.53e-05,7.28e-06,2.24e-04,32,false
2,cnn_only,data/splits,29150,2.02e-05,2.46e-05,2.68e-04,128,false
3,cnn_only,data/splits_10s,70228,1.02e-04,1.07e-06,1.88e-06,256,false
4,cnn_lstm,data/splits_10s,83094,3.53e-05,1.54e-06,1.48e-05,256,true
5,cnn_lstm,data/splits_10s,46540,1.38e-05,1.74e-06,5.24e-05,256,false
6,cnn_lstm,data/splits_10s,30320,6.75e-04,4.18e-05,6.97e-06,64,true
7,bilstm,data/splits,50362,5.72e-05,2.02e-06,7.72e-04,256,true
8,bilstm,data/splits_20s,96104,5.35e-04,5.93e-05,5.83e-05,32,true
