Model,Split_Dir,LR,RNN_LR,LR_Display,Diff_LR,CNN_Frozen,Weight_Decay,Batch_Size,Seed,Params,Epochs,Best_Epoch,Early_Stop,Test_F1,Test_AUROC,Test_Accuracy,Test_Loss,Val_F1,Run_ID,Date,Device,User,Platform,Torch_Vers
cnn_lstm,data/splits_20s,0.000235,1.19e-06,"CNN=2.35e-04, RNN=1.19e-06",True,False,6.49e-06,64,90010,308420,17,7,True,0.44912157319623597,0.5200616621056183,0.508880028996013,1.357758421789516,0.44811722994453845,cnn_lstm_seed90010_20251210_213547,2025-12-10T21:35:47.553282,cuda,navak,Linux,2.8.0+cu128
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,1,308420,11,1,True,0.446955085767071,0.5037225413333856,0.5759941771984385,1.359692189260877,0.43704972650390533,cnn_lstm_seed1_20251208_123401,2025-12-08T12:34:01.117438,mps,tomrannosaurus,Darwin,2.9.1
cnn_lstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,42,308420,11,1,True,0.4430860221846758,0.5085501568891473,0.5826109971547674,1.3674488686308075,0.4332446402303831,cnn_lstm_seed42_20251208_121743,2025-12-08T12:17:43.365313,mps,tomrannosaurus,Darwin,2.9.1
residual,data/splits_20s,0.0001,,1.00e-04,False,False,0.0001,64,123,139732,20,10,True,0.44180120459409217,0.5724075379367979,0.43820224719101125,1.1152390946041455,0.45844919747724433,residual_seed123_20251211_002633,2025-12-11T00:26:33.994720,cuda,tomra,Windows,2.9.1+cu128
bilstm,data/splits_10s,3.28e-05,1.65e-06,"CNN=3.28e-05, RNN=1.65e-06",True,False,0.000141,256,74980,316612,27,17,True,0.44112624404269896,0.5756771582576661,0.4520079749359157,1.1166541214500154,0.46505396960727713,bilstm_seed74980_20251210_162039,2025-12-10T16:20:39.822760,cuda,navak,Linux,2.8.0+cu128
cnn_lstm,data/splits_20s,0.0001,,1.00e-04,False,False,0.0001,64,123,308420,11,1,True,0.44000577648355493,0.5079311417999332,0.5679594055817325,1.3825717514211482,0.44813706272808823,cnn_lstm_seed123_20251208_163359,2025-12-08T16:34:00.088525,cuda,tomra,Windows,2.9.1+cu128
cnn_only,data/splits_10s,7.53e-05,7.28e-06,"CNN=7.53e-05, RNN=7.28e-06",True,False,0.000224,32,51910,44228,12,2,True,0.43990721991484455,0.5638840155347651,0.4285103958986044,1.1985773528164083,0.4566752938074939,cnn_only_seed51910_20251210_143728,2025-12-10T14:37:28.386728,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_10s,0.000203,2.42e-05,"CNN=2.03e-04, RNN=2.42e-05",True,False,0.000412,192,80355,44228,23,13,True,0.438857886156385,0.5962103015532007,0.43278268299629735,1.306553462067166,0.45527248353201616,cnn_only_seed80355_20251210_154723,2025-12-10T15:47:23.921328,cuda,navak,Linux,2.8.0+cu128
cnn_lstm_fixed,data/splits,0.001,1e-05,"CNN=1.00e-03, RNN=1.00e-05",True,False,0.0001,64,42,308228,11,1,True,0.4366087238717929,0.5115859251562641,0.5889631443128432,1.3694293780668878,0.4259830380392468,cnn_lstm_fixed_seed42_20251208_010905,2025-12-08T01:09:05.893546,cuda,tomra,Windows,2.9.1+cu128
bilstm,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,42,316612,13,3,True,0.4366087238717929,0.5009979507551112,0.5889631443128432,1.3748086570184441,0.4259830380392468,bilstm_seed42_20251208_125922,2025-12-08T12:59:22.538107,mps,tomrannosaurus,Darwin,2.9.1
