RUN,MODEL,SPLIT_DIR,SEED,LR,RNN_LR,WD,BS,FREEZE
1,cnn_lstm,data/splits,51540,1.41e-05,8.35e-05,1.55e-04,64,true
2,cnn_lstm,data/splits_20s,39116,5.76e-05,1.88e-05,3.09e-04,128,false
3,cnn_lstm,data/splits_10s,69125,6.12e-05,5.57e-05,7.21e-06,32,false
4,cnn_only,data/splits,62165,3.96e-05,1.08e-05,1.39e-04,256,false
5,cnn_only,data/splits_20s,61458,6.79e-05,2.75e-06,2.13e-04,128,false
6,cnn_only,data/splits_20s,38441,1.45e-05,3.75e-06,1.17e-06,256,false
7,cnn_lstm_ln,data/splits_20s,83784,2.04e-04,1.22e-05,1.69e-05,256,false
8,cnn_lstm_ln,data/splits_20s,55140,3.94e-05,9.92e-05,6.65e-04,192,false
9,cnn_lstm_ln,data/splits_20s,79912,4.95e-05,4.63e-05,1.73e-05,128,true
10,cnn_lstm_seq16,data/splits,70720,5.31e-05,2.18e-05,3.57e-04,192,false
