RUN,MODEL,SPLIT_DIR,SEED,LR,RNN_LR,WD,BS,FREEZE
1,cnn_lstm,data/splits_20s,59395,1.31e-04,2.82e-06,4.15e-06,128,false
2,cnn_lstm,data/splits,55625,1.64e-04,7.02e-05,1.02e-05,32,false
3,cnn_lstm,data/splits_20s,25356,8.30e-05,3.94e-05,5.88e-05,192,false
4,cnn_only,data/splits_10s,28268,5.33e-04,5.84e-06,1.40e-06,256,true
5,cnn_only,data/splits_10s,3038,1.17e-05,5.28e-06,3.38e-06,64,true
6,cnn_only,data/splits_10s,58032,6.27e-05,2.82e-06,4.92e-05,32,false
7,cnn_lstm_ln,data/splits,51550,1.38e-04,7.24e-06,1.71e-05,192,true
8,cnn_lstm_ln,data/splits_20s,39536,1.06e-05,3.82e-06,1.13e-05,64,false
9,cnn_lstm_ln,data/splits_10s,17544,8.43e-05,9.72e-06,4.58e-06,256,false
10,cnn_lstm_seq16,data/splits,83094,1.63e-04,3.09e-05,2.15e-05,192,false
11,cnn_lstm_seq16,data/splits_10s,65968,9.24e-04,1.35e-05,1.86e-05,256,false
12,cnn_lstm_seq16,data/splits,64800,1.20e-05,2.72e-06,2.83e-06,64,false
13,cnn_bilstm_seq24,data/splits_10s,13490,8.20e-04,9.11e-05,1.73e-06,256,true
14,cnn_bilstm_seq24,data/splits,45422,5.26e-05,2.44e-06,7.51e-06,32,false
15,cnn_bilstm_seq24,data/splits,47181,4.62e-04,8.26e-05,4.73e-04,128,false
16,cnn_lstm_meanpool,data/splits,75800,5.93e-05,7.43e-05,9.42e-04,192,false
17,cnn_lstm_meanpool,data/splits,49460,8.59e-04,6.43e-05,8.34e-05,64,false
18,cnn_lstm_meanpool,data/splits_20s,46060,5.88e-05,2.29e-06,7.95e-05,64,false
19,bilstm,data/splits_10s,74980,3.28e-05,1.65e-06,1.41e-04,256,false
20,bilstm,data/splits_10s,42496,8.58e-04,7.29e-05,7.06e-04,128,false
21,bilstm,data/splits,84340,3.78e-05,9.30e-06,6.61e-05,64,true
22,simple_lstm,data/splits,53860,3.00e-05,9.80e-06,9.96e-04,64,false
23,simple_lstm,data/splits,25744,3.16e-04,2.23e-05,3.73e-04,128,true
